claim_id,claim,status,evidence_location,notes
C01,"ReLexTail is a complete transitive preorder with exact refinement",proved,Manuscrit/submission/properties.tex,"Finite profile vector; lexicographic pullback."
C02,"Conditional Pareto compatibility",proved (conditional),Manuscrit/submission/properties.tex,"Requires retained monotone separating probes."
C03,"Uniform replication invariance",proved,Manuscrit/submission/properties.tex,"Selective duplication is not covered."
C04,"Category stability under a sup-norm perturbation",proved (sufficient only),Manuscrit/submission/properties.tex,"Vacuous when any coordinate sits on a cell boundary."
C05,"Interval elimination is sound",proved,Manuscrit/submission/computation.tex,"Proposition certsound."
C06,"A decision can be certified with no category retained",proved,Manuscrit/submission/certification.tex; enhanced/src/certrelex/certify.py,"Proposition decisionfocus. No retention appears in the proof chain."
C07,"The all-candidate condition can certify nothing while the decision is certain",proved by exhibition,enhanced/src/certrelex/examples.py (E-A); enhanced/results/examples.json,"5x4 rational instance; recomputed by check_boundary."
C08,"Shared-anchor enclosures are contained in independent ones",proved,Manuscrit/submission/certification.tex; enhanced/src/certrelex/interval.py,"Proposition sharedanchor; strict when the anchors carry width."
C09,"That containment can decide whether a box is certified",proved by exhibition,enhanced/src/certrelex/examples.py (E-B); enhanced/results/examples.json,"4x3 rational instance; recomputed by check_slack."
C10,"The engine returns a two-sided radius bracket",proved by exhibition,enhanced/src/certrelex/examples.py (E-C),"Lower bound from the engine; upper bound from a verified oracle switch."
C11,"No emitted certificate was falsified",measured,enhanced/results/correctness.json,"Exact rational oracle draws inside certified leaves plus independent replay. Absence of the errors searched for, not a soundness proof."
C12,"Decision focus raises the certified radius (P1)",measured (locked test split),enhanced/analysis/tables/contrasts.csv,"Paired bootstrap over instances; Holm within {P1,P2}; p-values descriptive."
C13,"Dependency preservation raises the certified radius (P2)",measured (locked test split),enhanced/analysis/tables/contrasts.csv,"As above."
C14,"Decision-relevant branching adds a further gain",measured (exploratory),enhanced/analysis/tables/contrasts.csv,"Not in the prespecified family."
C15,"Upper-tail regret differs from exact LexPR at delta=0.02",measured (small),Manuscrit/submission/data/study.csv,"0.5411 vs 0.5428; metric-dependent."
C16,"Point-stability gain at delta=0.02",not supported,Manuscrit/submission/data/study.csv,"Paired interval includes zero."
C17,"Sequential polyhedral characterisation and stage count",proved,Manuscrit/submission/computation.tex,"Formulation counts, not runtimes."
C18,"Validated end-to-end continuous solver",unestablished,-,"No implementation validated."
C19,"Lower external regret at matched coverage against the strongest baseline",unestablished,-,"Track B not run (protocol/preregistration.md section 7)."
C20,"Calibrated selective risk and coverage guarantee",unestablished,-,"Track C not run. Requires independent decision episodes."
C21,"Benefit on measured operational data",unestablished,-,"No field data with repeated observations or elicited preferences."
C22,"Priority over the closest literature",unestablished,enhanced/literature/novelty_memo.md,"Full-text verification of the shortlist is pending."
C23,"Set-preservation contract for tied nominal optima",unestablished,-,"Ties are recorded and skipped, not resolved."
