instance,family,m,replicate,data_split,arm,gate,mode,split,nominal_winner,focal_level,focal_certified,focal_certified_volume,focal_boxes,focal_seconds,focal_budget_exhausted,rho_lower,box_budget,witness_level,witness_unique
simplex-3-0,simplex,3,0,development,A0_global_independent,global,independent,widest,2,0.02,False,4.6629367034256575e-15,300,0.31315887498203665,True,0.0,300,0.4,True
simplex-3-0,simplex,3,0,development,A1_decision_independent,decision,independent,widest,2,0.02,True,1.0,65,0.027484958060085773,False,0.023599609375000004,300,0.4,True
simplex-3-0,simplex,3,0,development,A2_decision_joint,decision,joint,widest,2,0.02,True,1.0,3,0.0017186249606311321,False,0.039964843750000006,300,0.4,True
simplex-3-0,simplex,3,0,development,A3_decision_joint_relevant,decision,joint,decision,2,0.02,True,1.0,3,0.0019027080852538347,False,0.039964843750000006,300,0.4,True
simplex-3-1,simplex,3,1,development,A0_global_independent,global,independent,widest,7,0.02,False,0.0,300,0.12686479196418077,True,0.0,300,,
simplex-3-1,simplex,3,1,development,A1_decision_independent,decision,independent,widest,7,0.02,False,2.0227162167429924e-09,300,0.10728145798202604,True,0.0,300,,
simplex-3-1,simplex,3,1,development,A2_decision_joint,decision,joint,widest,7,0.02,False,4.0512531995773315e-08,300,0.14310658304020762,True,0.001,300,,
simplex-3-1,simplex,3,1,development,A3_decision_joint_relevant,decision,joint,decision,7,0.02,False,3.841705620288849e-08,300,0.15473591594491154,True,0.001,300,,
simplex-3-2,simplex,3,2,development,A0_global_independent,global,independent,widest,7,0.02,False,2.1280754936015e-12,300,0.27276362502016127,True,0.0,300,0.05,True
simplex-3-2,simplex,3,2,development,A1_decision_independent,decision,independent,widest,7,0.02,False,0.00144195556640625,300,0.12155358295422047,True,0.007234375000000001,300,0.05,True
simplex-3-2,simplex,3,2,development,A2_decision_joint,decision,joint,widest,7,0.02,False,0.0190277099609375,300,0.14511045801918954,True,0.011130859375000001,300,0.05,True
simplex-3-2,simplex,3,2,development,A3_decision_joint_relevant,decision,joint,decision,7,0.02,False,0.0213623046875,300,0.16205162508413196,True,0.010351562500000001,300,0.05,True
simplex-3-3,simplex,3,3,calibration,A0_global_independent,global,independent,widest,1,0.02,False,0.0,300,0.16462416597642004,True,0.0,300,0.01,True
simplex-3-3,simplex,3,3,calibration,A1_decision_independent,decision,independent,widest,1,0.02,False,2.648448571562767e-09,300,0.1155907919164747,True,0.0,300,0.01,True
simplex-3-3,simplex,3,3,calibration,A2_decision_joint,decision,joint,widest,1,0.02,False,2.9336661100387573e-08,300,0.15466400003060699,True,0.001,300,0.01,True
simplex-3-3,simplex,3,3,calibration,A3_decision_joint_relevant,decision,joint,decision,1,0.02,False,2.9103830456733704e-08,300,0.1699295419966802,True,0.001,300,0.01,True
simplex-3-4,simplex,3,4,test,A0_global_independent,global,independent,widest,9,0.02,False,3.7816971776294395e-16,300,0.3087311250856146,True,0.0,300,,
simplex-3-4,simplex,3,4,test,A1_decision_independent,decision,independent,widest,9,0.02,False,0.0732421875,300,0.12911449989769608,True,0.012689453125000002,300,,
simplex-3-4,simplex,3,4,test,A2_decision_joint,decision,joint,widest,9,0.02,True,1.0,143,0.07162616704590619,False,0.022041015625,300,,
simplex-3-4,simplex,3,4,test,A3_decision_joint_relevant,decision,joint,decision,9,0.02,True,1.0,163,0.08479166601318866,False,0.022041015625,300,,
simplex-3-5,simplex,3,5,test,A0_global_independent,global,independent,widest,1,0.02,False,0.0,300,0.19212612498085946,True,0.0,300,0.05,True
simplex-3-5,simplex,3,5,test,A1_decision_independent,decision,independent,widest,1,0.02,False,0.00042724609375,300,0.11352162505500019,True,0.004896484375000001,300,0.05,True
simplex-3-5,simplex,3,5,test,A2_decision_joint,decision,joint,widest,1,0.02,False,0.0078125,300,0.1366351250326261,True,0.008792968750000001,300,0.05,True
simplex-3-5,simplex,3,5,test,A3_decision_joint_relevant,decision,joint,decision,1,0.02,False,0.00848388671875,300,0.16060850000940263,True,0.009572265625000001,300,0.05,True
simplex-3-6,simplex,3,6,test,A0_global_independent,global,independent,widest,5,0.02,False,5.329070518200751e-15,300,0.4381730000022799,True,0.0,300,0.2,True
simplex-3-6,simplex,3,6,test,A1_decision_independent,decision,independent,widest,5,0.02,True,1.0,197,0.08819320902694017,False,0.020482421875000004,300,0.2,True
simplex-3-6,simplex,3,6,test,A2_decision_joint,decision,joint,widest,5,0.02,True,1.0,9,0.005980666959658265,False,0.03450976562500001,300,0.2,True
simplex-3-6,simplex,3,6,test,A3_decision_joint_relevant,decision,joint,decision,5,0.02,True,1.0,7,0.0051253329729661345,False,0.03450976562500001,300,0.2,True
simplex-3-7,simplex,3,7,test,A0_global_independent,global,independent,widest,1,0.02,False,0.0,300,0.29994120891205966,True,0.0,300,0.2,True
simplex-3-7,simplex,3,7,test,A1_decision_independent,decision,independent,widest,1,0.02,False,0.035888671875,300,0.12017483310773969,True,0.010351562500000001,300,0.2,True
simplex-3-7,simplex,3,7,test,A2_decision_joint,decision,joint,widest,1,0.02,False,0.34765625,300,0.1644543749280274,True,0.017365234375000003,300,0.2,True
simplex-3-7,simplex,3,7,test,A3_decision_joint_relevant,decision,joint,decision,1,0.02,False,0.5,300,0.1552154580131173,True,0.017365234375000003,300,0.2,True
simplex-6-0,simplex,6,0,development,A0_global_independent,global,independent,widest,4,0.02,False,0.0,300,0.14157579094171524,True,0.0,300,0.05,True
simplex-6-0,simplex,6,0,development,A1_decision_independent,decision,independent,widest,4,0.02,False,8.42846930027008e-08,300,0.1664702920243144,True,0.005675781250000001,300,0.05,True
simplex-6-0,simplex,6,0,development,A2_decision_joint,decision,joint,widest,4,0.02,False,3.266334533691406e-05,300,0.20171633292920887,True,0.009572265625000001,300,0.05,True
simplex-6-0,simplex,6,0,development,A3_decision_joint_relevant,decision,joint,decision,4,0.02,False,0.000274658203125,300,0.21027408295776695,True,0.009572265625000001,300,0.05,True
simplex-6-1,simplex,6,1,development,A0_global_independent,global,independent,widest,5,0.02,False,0.0,300,0.1820314999204129,True,0.0,300,0.4,True
simplex-6-1,simplex,6,1,development,A1_decision_independent,decision,independent,widest,5,0.02,True,1.0,143,0.0644911250565201,False,0.021261718750000002,300,0.4,True
simplex-6-1,simplex,6,1,development,A2_decision_joint,decision,joint,widest,5,0.02,True,1.0,1,0.0013236249797046185,False,0.03684765625,300,0.4,True
simplex-6-1,simplex,6,1,development,A3_decision_joint_relevant,decision,joint,decision,5,0.02,True,1.0,1,0.001292875036597252,False,0.03684765625,300,0.4,True
simplex-6-2,simplex,6,2,development,A0_global_independent,global,independent,widest,2,0.02,False,0.0,300,0.13776804192457348,True,0.0,300,,
simplex-6-2,simplex,6,2,development,A1_decision_independent,decision,independent,widest,2,0.02,False,0.609375,300,0.13602462504059076,True,0.018923828125,300,,
simplex-6-2,simplex,6,2,development,A2_decision_joint,decision,joint,widest,2,0.02,True,1.0,1,0.001143125002272427,False,0.0352890625,300,,
simplex-6-2,simplex,6,2,development,A3_decision_joint_relevant,decision,joint,decision,2,0.02,True,1.0,1,0.0012440839782357216,False,0.03684765625,300,,
simplex-6-3,simplex,6,3,calibration,A0_global_independent,global,independent,widest,5,0.02,False,0.0,300,0.14135787507984787,True,0.0,300,0.4,True
simplex-6-3,simplex,6,3,calibration,A1_decision_independent,decision,independent,widest,5,0.02,True,1.0,1,0.0010615410283207893,False,0.027496093750000002,300,0.4,True
simplex-6-3,simplex,6,3,calibration,A2_decision_joint,decision,joint,widest,5,0.02,True,1.0,1,0.0012547910446301103,False,0.050095703125,300,0.4,True
simplex-6-3,simplex,6,3,calibration,A3_decision_joint_relevant,decision,joint,decision,5,0.02,True,1.0,1,0.0011070420732721686,False,0.050095703125,300,0.4,True
simplex-6-4,simplex,6,4,test,A0_global_independent,global,independent,widest,8,0.02,False,0.0,300,0.1306607499718666,True,0.0,300,0.05,True
simplex-6-4,simplex,6,4,test,A1_decision_independent,decision,independent,widest,8,0.02,False,1.73225998878479e-07,300,0.13541145797353238,True,0.004896484375000001,300,0.05,True
simplex-6-4,simplex,6,4,test,A2_decision_joint,decision,joint,widest,8,0.02,False,4.57763671875e-05,300,0.15831349999643862,True,0.008013671875000001,300,0.05,True
simplex-6-4,simplex,6,4,test,A3_decision_joint_relevant,decision,joint,decision,8,0.02,False,7.05718994140625e-05,300,0.1724036659579724,True,0.009572265625000001,300,0.05,True
simplex-6-5,simplex,6,5,test,A0_global_independent,global,independent,widest,1,0.02,False,0.0,300,0.13031974993646145,True,0.0,300,0.05,True
simplex-6-5,simplex,6,5,test,A1_decision_independent,decision,independent,widest,1,0.02,False,8.049028110690415e-11,300,0.1330880409805104,True,0.0025585937500000005,300,0.05,True
simplex-6-5,simplex,6,5,test,A2_decision_joint,decision,joint,widest,1,0.02,False,6.426125764846802e-08,300,0.16117008298169822,True,0.004896484375000001,300,0.05,True
simplex-6-5,simplex,6,5,test,A3_decision_joint_relevant,decision,joint,decision,1,0.02,False,3.958120942115784e-08,300,0.17480379191692919,True,0.005675781250000001,300,0.05,True
simplex-6-6,simplex,6,6,test,A0_global_independent,global,independent,widest,1,0.02,False,0.0,300,0.13155779102817178,True,0.0,300,0.05,True
simplex-6-6,simplex,6,6,test,A1_decision_independent,decision,independent,widest,1,0.02,False,1.817941665649414e-06,300,0.1367177499923855,True,0.006455078125000001,300,0.05,True
simplex-6-6,simplex,6,6,test,A2_decision_joint,decision,joint,widest,1,0.02,False,0.00048828125,300,0.1604709579842165,True,0.009572265625000001,300,0.05,True
simplex-6-6,simplex,6,6,test,A3_decision_joint_relevant,decision,joint,decision,1,0.02,False,0.000598907470703125,300,0.17716629104688764,True,0.010351562500000001,300,0.05,True
simplex-6-7,simplex,6,7,test,A0_global_independent,global,independent,widest,3,0.02,False,0.0,300,0.15289183298591524,True,0.0,300,0.1,True
simplex-6-7,simplex,6,7,test,A1_decision_independent,decision,independent,widest,3,0.02,False,0.0006561279296875,300,0.13743579189758748,True,0.011130859375000001,300,0.1,True
simplex-6-7,simplex,6,7,test,A2_decision_joint,decision,joint,widest,3,0.02,False,0.18359375,300,0.16382958402391523,True,0.017365234375000003,300,0.1,True
simplex-6-7,simplex,6,7,test,A3_decision_joint_relevant,decision,joint,decision,3,0.02,False,0.19921875,300,0.17817454203031957,True,0.018144531250000002,300,0.1,True
simplex-10-0,simplex,10,0,development,A0_global_independent,global,independent,widest,9,0.02,False,0.0,300,0.17873933294322342,True,0.0,300,0.2,True
simplex-10-0,simplex,10,0,development,A1_decision_independent,decision,independent,widest,9,0.02,False,0.001953125,300,0.17703008302487433,True,0.015027343750000002,300,0.2,True
simplex-10-0,simplex,10,0,development,A2_decision_joint,decision,joint,widest,9,0.02,True,1.0,1,0.0015186669770628214,False,0.028275390625,300,0.2,True
simplex-10-0,simplex,10,0,development,A3_decision_joint_relevant,decision,joint,decision,9,0.02,True,1.0,1,0.0015521659515798092,False,0.029054687500000002,300,0.2,True
simplex-10-1,simplex,10,1,development,A0_global_independent,global,independent,widest,0,0.02,False,0.0,300,0.17360737500712276,True,0.0,300,0.4,True
simplex-10-1,simplex,10,1,development,A1_decision_independent,decision,independent,widest,0,0.02,False,0.00543212890625,300,0.2191860000602901,True,0.015027343750000002,300,0.4,True
simplex-10-1,simplex,10,1,development,A2_decision_joint,decision,joint,widest,0,0.02,True,1.0,1,0.0015419160481542349,False,0.027496093750000002,300,0.4,True
simplex-10-1,simplex,10,1,development,A3_decision_joint_relevant,decision,joint,decision,0,0.02,True,1.0,1,0.0014908750308677554,False,0.028275390625,300,0.4,True
simplex-10-2,simplex,10,2,development,A0_global_independent,global,independent,widest,7,0.02,False,0.0,300,0.17364716704469174,True,0.0,300,0.2,True
simplex-10-2,simplex,10,2,development,A1_decision_independent,decision,independent,widest,7,0.02,False,3.5762786865234375e-07,300,0.21065224998164922,True,0.010351562500000001,300,0.2,True
simplex-10-2,simplex,10,2,development,A2_decision_joint,decision,joint,widest,7,0.02,False,0.671875,300,0.23422258405480534,True,0.018923828125,300,0.2,True
simplex-10-2,simplex,10,2,development,A3_decision_joint_relevant,decision,joint,decision,7,0.02,False,0.3984375,300,0.2553524160757661,True,0.019703125000000002,300,0.2,True
simplex-10-3,simplex,10,3,calibration,A0_global_independent,global,independent,widest,0,0.02,False,0.0,300,0.1760554580250755,True,0.0,300,0.2,True
simplex-10-3,simplex,10,3,calibration,A1_decision_independent,decision,independent,widest,0,0.02,False,4.4345855712890625e-05,300,0.17891795898322016,True,0.012689453125000002,300,0.2,True
simplex-10-3,simplex,10,3,calibration,A2_decision_joint,decision,joint,widest,0,0.02,True,1.0,15,0.010976416990160942,False,0.022041015625,300,0.2,True
simplex-10-3,simplex,10,3,calibration,A3_decision_joint_relevant,decision,joint,decision,0,0.02,True,1.0,13,0.010191625100560486,False,0.022041015625,300,0.2,True
simplex-10-4,simplex,10,4,test,A0_global_independent,global,independent,widest,7,0.02,False,0.0,300,0.17004445905331522,True,0.0,300,0.1,True
simplex-10-4,simplex,10,4,test,A1_decision_independent,decision,independent,widest,7,0.02,False,2.5320332497358322e-09,300,0.1930413329973817,True,0.007234375000000001,300,0.1,True
simplex-10-4,simplex,10,4,test,A2_decision_joint,decision,joint,widest,7,0.02,False,0.0005130767822265625,300,0.20144712505862117,True,0.012689453125000002,300,0.1,True
simplex-10-4,simplex,10,4,test,A3_decision_joint_relevant,decision,joint,decision,7,0.02,False,0.00092315673828125,300,0.21556616702582687,True,0.012689453125000002,300,0.1,True
simplex-10-5,simplex,10,5,test,A0_global_independent,global,independent,widest,8,0.02,False,0.0,300,0.17016266693826765,True,0.0,300,0.2,True
simplex-10-5,simplex,10,5,test,A1_decision_independent,decision,independent,widest,8,0.02,False,0.00054931640625,300,0.18144949991255999,True,0.014248046875000002,300,0.2,True
simplex-10-5,simplex,10,5,test,A2_decision_joint,decision,joint,widest,8,0.02,True,1.0,1,0.001668291981332004,False,0.025937500000000002,300,0.2,True
simplex-10-5,simplex,10,5,test,A3_decision_joint_relevant,decision,joint,decision,8,0.02,True,1.0,1,0.0014633750542998314,False,0.025937500000000002,300,0.2,True
simplex-10-6,simplex,10,6,test,A0_global_independent,global,independent,widest,2,0.02,False,0.0,300,0.1717552919872105,True,0.0,300,0.4,True
simplex-10-6,simplex,10,6,test,A1_decision_independent,decision,independent,widest,2,0.02,True,1.0,1,0.0014154158998280764,False,0.024378906250000002,300,0.4,True
simplex-10-6,simplex,10,6,test,A2_decision_joint,decision,joint,widest,2,0.02,True,1.0,1,0.001479333033785224,False,0.0477578125,300,0.4,True
simplex-10-6,simplex,10,6,test,A3_decision_joint_relevant,decision,joint,decision,2,0.02,True,1.0,1,0.001875665970146656,False,0.04931640625,300,0.4,True
